congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
96,House,14417,11,1,DE,200,0,1,"EVANS, Thomas Beverley, Jr.",E000258,1931,,0.178,-0.384,-327.79908,0.714,975,150,,0.173,-0.472
96,House,633,43,3,FL,100,0,1,"BENNETT, Charles Edward",B000371,1910,2003.0,-0.088,0.421,-556.71408,0.593,1067,242,,-0.129,0.667
96,House,3078,43,15,FL,100,0,1,"FASCELL, Dante Bruno",F000041,1917,1998.0,-0.4,0.229,-237.17768,0.79,1006,100,,-0.522,0.313
96,House,7333,43,14,FL,100,0,1,"PEPPER, Claude Denson",P000218,1900,1989.0,-0.422,0.357,-197.32489,0.796,865,72,,-0.49,0.355
96,House,10587,43,2,FL,100,0,1,"FUQUA, Don",F000430,1933,,-0.173,0.715,-276.24948,0.749,956,116,,-0.229,0.574
96,House,10588,43,7,FL,100,0,1,"GIBBONS, Sam Melville",G000153,1920,2012.0,-0.233,0.17,-437.94377,0.616,903,188,,-0.272,0.502
96,House,12007,43,4,FL,100,0,1,"CHAPPELL, William Venroe, Jr.",C000321,1922,1989.0,-0.098,0.916,-305.5288,0.724,946,134,,-0.009,0.759
96,House,13047,43,6,FL,200,0,1,"YOUNG, Charles William (Bill)",Y000031,1930,2013.0,0.325,-0.112,-326.36577,0.73,1038,129,,0.29,0.021
96,House,14003,43,10,FL,200,0,1,"BAFALIS, Louis Arthur (Skip)",B000029,1929,,0.303,0.078,-231.86964,0.798,1025,80,,0.353,0.153
96,House,14029,43,13,FL,100,0,1,"LEHMAN, William",L000226,1913,2005.0,-0.483,-0.001,-238.4763,0.787,994,108,,-0.525,0.202
96,House,14243,43,5,FL,200,0,1,"KELLY, Richard",K000077,1924,2005.0,0.504,0.078,-262.67466,0.76,957,128,,0.577,0.36
96,House,14636,43,1,FL,100,0,1,"HUTTO, Earl Dewitt",H001018,1926,,-0.007,0.732,-387.03617,0.68,1003,189,,-0.199,0.818
96,House,14648,43,11,FL,100,0,1,"MICA, Daniel Andrew",M000688,1944,,-0.184,0.363,-381.29551,0.69,1027,181,,-0.161,0.382
96,House,14651,43,9,FL,100,0,1,"NELSON, Clarence William (Bill)",N000032,1942,,-0.193,0.337,-427.41142,0.66689,1055,206,,-0.152,0.442
96,House,14663,43,12,FL,100,0,1,"STACK, Edward John",S000772,1910,1989.0,-0.39,0.063,-259.8397,0.777,1030,106,,-0.389,0.065
96,House,94428,43,8,FL,100,0,1,"IRELAND, Andrew Poysell (Andy)",I000029,1930,,0.015,0.377,-334.55526,0.698,929,163,,-0.073,0.577
96,House,11005,44,3,GA,100,0,1,"BRINKLEY, Jack Thomas",B000839,1930,,-0.073,0.701,-365.25022,0.699,1018,158,,-0.08,0.542
96,House,13023,44,2,GA,100,0,1,"MATHIS, Marvin Dawson",M000244,1940,,-0.04,0.907,-282.52171,0.649,654,121,,-0.02,0.621
96,House,14016,44,1,GA,100,0,1,"GINN, Ronald Bryan (Bo)",G000226,1934,2005.0,-0.217,0.849,-286.81404,0.754,1016,120,,-0.241,0.726
96,House,14249,44,4,GA,100,0,1,"LEVITAS, Elliott Harris",L000265,1930,,-0.056,0.075,-451.54534,0.645,1029,226,,-0.058,0.062
96,House,14252,44,7,GA,100,0,1,"McDONALD, Lawrence Patton",M000413,1935,1983.0,0.884,0.343,-207.17181,0.818,1034,81,,0.899,0.383
96,House,14404,44,10,GA,100,0,1,"BARNARD, Druie Douglas, Jr.",B000153,1922,,-0.028,0.639,-359.88072,0.695,990,163,,-0.063,0.675
96,House,14418,44,8,GA,100,0,1,"EVANS, Billy Lee",E000233,1941,,-0.091,0.501,-422.12679,0.634,927,197,,-0.103,0.522
96,House,14429,44,9,GA,100,0,1,"JENKINS, Edgar Lanier (Ed)",J000083,1933,2012.0,-0.116,0.678,-406.26037,0.661,980,189,,-0.099,0.707
96,House,14467,44,5,GA,100,0,1,"FOWLER, Wyche, Jr.",F000329,1940,,-0.237,0.196,-373.94276,0.677,957,160,,-0.22,0.062
96,House,14627,44,6,GA,200,0,1,"GINGRICH, Newton Leroy",G000225,1943,,0.377,-0.257,-372.21632,0.688,996,163,,0.34,-0.311
96,House,14400,82,2,HI,100,0,1,"AKAKA, Daniel Kahikina",A000069,1924,,-0.419,0.273,-213.36404,0.808,1003,81,,-0.451,0.405
96,House,14425,82,1,HI,100,0,1,"HEFTEL, Cecil Landau",H000449,1924,2010.0,-0.269,0.243,-333.83828,0.699,931,151,,-0.3,0.333
96,House,10734,63,2,ID,200,0,1,"HANSEN, George Vernon",H000171,1930,2014.0,0.621,0.339,-176.76738,0.829,945,66,,0.712,0.312
96,House,14056,63,1,ID,200,0,1,"SYMMS, Steven Douglas",S001138,1938,,0.687,0.355,-141.69765,0.848,861,48,,0.687,0.361
96,House,2525,21,4,IL,200,0,1,"DERWINSKI, Edward Joseph",D000269,1926,2012.0,0.342,-0.361,-556.79925,0.578,1015,259,,0.353,-0.703
96,House,6455,21,18,IL,200,0,1,"MICHEL, Robert Henry",M000692,1923,,0.372,-0.157,-316.98264,0.722,975,141,,0.349,-0.216
96,House,7610,21,23,IL,100,0,1,"PRICE, Charles Melvin",P000522,1905,1988.0,-0.429,0.346,-202.715,0.817,1005,65,,-0.509,0.531
96,House,8080,21,8,IL,100,0,1,"ROSTENKOWSKI, Daniel David",R000458,1928,2010.0,-0.39,0.246,-218.87199,0.786,910,91,,-0.501,0.531
96,House,10421,21,9,IL,100,0,1,"YATES, Sidney Richard",Y000013,1909,2000.0,-0.494,-0.494,-216.08788,0.802,977,99,,-0.521,-0.293
96,House,10501,21,16,IL,200,0,1,"ANDERSON, John Bayard",A000195,1922,,0.183,-0.554,-173.13205,0.49,243,84,,-0.092,-0.617
96,House,10517,21,20,IL,200,0,1,"FINDLEY, Paul",F000123,1921,,0.246,-0.525,-472.45851,0.617,977,240,,0.124,-0.406
96,House,10606,21,13,IL,200,0,1,"McCLORY, Robert",M000340,1908,1988.0,0.256,-0.426,-384.07526,0.674,972,189,,0.213,-0.353
96,House,10703,21,11,IL,100,0,1,"ANNUNZIO, Frank",A000212,1915,2001.0,-0.398,0.351,-238.9247,0.793,1031,95,,-0.419,0.39
96,House,10722,21,14,IL,200,0,1,"ERLENBORN, John Neal",E000204,1927,2005.0,0.315,-0.438,-478.16056,0.602,942,238,,0.217,-0.407
96,House,11041,21,19,IL,200,0,1,"RAILSBACK, Thomas Fisher",R000012,1932,,0.103,-0.446,-346.79299,0.684,914,177,,0.043,-0.457
96,House,12025,21,10,IL,100,0,1,"MIKVA, Abner Joseph",M000703,1926,2016.0,-0.441,-0.55,-79.15926,0.814,385,35,,-0.514,-0.337
96,House,12041,21,12,IL,200,0,1,"CRANE, Philip Miller",C000873,1930,2014.0,0.739,0.023,-132.25725,0.832,717,55,,0.727,0.085
96,House,13032,21,2,IL,100,0,1,"MURPHY, Morgan Francis",M001101,1932,2016.0,-0.399,0.277,-156.5432,0.802,711,63,,-0.461,0.323
96,House,14033,21,21,IL,200,0,1,"MADIGAN, Edward Rell",M000041,1936,1994.0,0.247,-0.396,-376.44801,0.678,969,172,,0.174,-0.268
96,House,14041,21,17,IL,200,0,1,"O'BRIEN, George Miller",O000010,1917,1986.0,0.169,-0.132,-385.16415,0.652,901,172,,0.222,-0.279
